"Mean","GenCoeff","InbrdCoeff","HS_10Mo","HS_IFT","HS10Mo_YMrc","HSIFT_YMrc","altDogID"
1,10.94,0.07,0,5,0,66,"R9686"
1,12.41,0.13,0,5,0,66,"R9721"
1,12.76,0.12,0,5,0,66,"R9734"
1,12.76,0.12,0,5,0,66,"R9738"
1,12.68,0.14,5,0,201102,0,"R9750"
1,12.68,0.14,0,5,0,66,"R9751"
1,12.68,0.14,0,5,0,66,"R9752"
1,12.92,0.14,0,5,0,66,"R9771"
1,11.07,0.08,5,0,201102,0,"R9773"
1,11.07,0.08,5,0,201102,0,"R9774"
1,12.47,0.11,0,5,0,66,"R9795"
1,12.47,0.11,0,5,0,66,"R9796"
1,12.87,0.16,5,0,66,0,"R9797"
1,12.87,0.16,0,5,0,66,"R9801"
1,12.5,0.11,5,0,201102,0,"R9806"
1,11.68,0.1,5,0,201102,0,"R9811"
1,11.68,0.1,0,5,0,66,"R9813"
1,11.68,0.1,5,0,66,0,"R9815"
1,11.68,0.1,5,0,66,0,"R9816"
1,12.27,0.1,5,5,201102,66,"R9822"
1,12.27,0.1,5,0,66,0,"R9823"
1,12.98,0.14,5,0,66,0,"R9826"
1,12.98,0.14,0,5,0,66,"R9827"
1,12.98,0.14,5,0,201102,0,"R9828"
1,10.08,0.00900000061256981,5,0,201102,0,"R9820"
1,10.08,0.00900000061256981,5,0,66,0,"R15423"
1,12.31,0.11,3,0,66,0,"R9830"
1,12.31,0.11,0,5,0,66,"R9831"
1,12.31,0.11,5,0,201102,0,"R9833"
1,12.31,0.11,5,0,201102,0,"R9835"
1,12.31,0.11,5,0,66,0,"R9836"
1,12.31,0.11,0,5,0,66,"R9838"
1,12.3,0.17,0,5,0,201111,"R9844"
1,12.3,0.17,5,0,66,0,"R9845"
1,12.25,0.11,0,3,0,201111,"R9848"
1,12.3,0.17,4,0,66,0,"R9849"
1,12.3,0.17,4,5,201102,201111,"R9850"
1,12.3,0.17,0,5,0,201111,"R9852"
1,12.25,0.11,5,0,201102,0,"R9853"
1,13.23,0.15,5,0,66,0,"R9859"
1,13.23,0.15,5,0,66,0,"R9860"
1,13.23,0.15,5,5,201102,201111,"R9861"
1,13.23,0.15,3,0,66,0,"R9863"
1,10.92,0.07,5,0,201102,0,"R9864"
1,10.92,0.07,0,5,0,201111,"R9865"
1,10.92,0.07,5,5,66,201111,"R9867"
1,10.92,0.07,0,5,0,201111,"R9868"
1,10.92,0.07,0,5,0,201111,"R9869"
1,11.88,0.12,3,0,201102,0,"R9870"
1,11.88,0.12,0,5,0,201111,"R9872"
1,11.88,0.12,0,5,0,201111,"R9873"
1,11.88,0.12,5,5,66,66,"R9874"
1,12.07,0.08,5,5,201102,201112,"R9877"
1,12.07,0.08,5,5,201102,201112,"R9878"
1,12.07,0.08,5,5,201102,201112,"R9879"
1,12.07,0.08,0,3,0,201111,"R9880"
1,12.76,0.12,5,5,201106,201201,"R9881"
1,12.76,0.12,5,5,66,201111,"R9882"
1,12.76,0.12,5,0,66,0,"R9883"
1,12.76,0.12,0,5,0,201112,"R9884"
1,12.76,0.12,5,5,66,201112,"R9885"
1,12.76,0.12,5,0,201106,0,"R9886"
1,12.76,0.12,0,5,0,201112,"R9887"
1,12.76,0.12,0,5,0,201112,"R9888"
1,12.81,0.15,0,4,0,201111,"R9889"
1,12.81,0.15,0,5,0,201112,"R9890"
1,12.81,0.15,0,4,0,201111,"R9891"
1,12.81,0.15,5,5,66,201201,"R9895"
1,12.81,0.15,4,4,201106,201111,"R9896"
1,12.81,0.15,5,3,66,201111,"R9897"
1,10.77,0.07,5,4,66,201111,"R9898"
1,10.77,0.07,5,5,66,201112,"R9899"
1,10.77,0.07,5,5,201106,201112,"R9900"
1,10.77,0.07,4,5,66,201112,"R9901"
1,10.77,0.07,5,5,66,201111,"R9902"
1,10.77,0.07,0,1,0,201201,"R9903"
1,10.77,0.07,5,5,66,201111,"R9904"
1,12.6,0.11,5,5,201106,201201,"R9906"
1,12.6,0.11,5,5,66,201203,"R9908"
1,12.6,0.11,0,2,0,201112,"R9909"
1,11.86,0.07,3,5,201107,201201,"R9910"
1,11.86,0.07,5,4,201107,201201,"R9911"
1,11.86,0.07,4,5,66,201112,"R9912"
1,11.86,0.07,5,4,66,201201,"R9913"
1,11.86,0.07,4,5,201102,201201,"R9917"
1,11.87,0.14,0,5,0,201203,"R9918"
1,11.87,0.14,0,5,0,201201,"R9919"
1,11.87,0.14,0,5,0,201201,"R9920"
1,11.87,0.14,5,5,201102,201202,"R9921"
1,11.87,0.14,5,4,201107,201201,"R9922"
1,11.87,0.14,0,1,0,201202,"R9923"
1,11.87,0.14,5,0,201107,0,"R9924"
1,11.87,0.14,0,5,0,201112,"R9925"
1,12.41,0.13,0,5,0,201201,"R9926"
1,12.41,0.13,5,5,66,201112,"R9927"
1,12.41,0.13,5,5,201106,201202,"R9928"
1,12.41,0.13,5,5,66,201201,"R9929"
1,12.41,0.13,0,5,0,201112,"R9930"
1,12.29,0.09,5,5,66,201201,"R9933"
1,12.29,0.09,5,5,201107,201202,"R9935"
1,12.29,0.09,5,5,201106,201203,"R9936"
1,12.29,0.09,5,5,66,201202,"R9937"
1,12.29,0.09,5,0,66,0,"R9938"
1,12.29,0.09,5,5,201106,201202,"R9939"
1,12.8,0.11,5,3,201106,201111,"R9942"
1,12.8,0.11,0,4,0,201201,"R9943"
1,12.8,0.11,0,5,0,201201,"R9945"
1,12.8,0.11,5,5,201106,201112,"R9947"
1,12.8,0.11,5,5,66,201202,"R9948"
1,11.71,0.1,0,5,0,201112,"R9950"
1,11.71,0.1,5,5,66,201201,"R9952"
1,11.71,0.1,5,5,201106,201203,"R9954"
1,11.71,0.1,0,5,0,201201,"R9955"
1,11.71,0.1,5,0,201106,0,"R9956"
1,12.22,0.09,0,5,0,201202,"R9957"
1,12.22,0.09,0,5,0,201202,"R9959"
1,12.22,0.09,0,5,0,201202,"R9960"
1,12.22,0.09,0,5,0,201203,"R9962"
1,11.92,0.07,5,5,66,201201,"R9965"
1,11.92,0.07,0,5,0,201201,"R9966"
1,11.92,0.07,0,4,0,201203,"R9967"
1,11.92,0.07,5,5,66,201201,"R9968"
1,11.92,0.07,4,3,66,201202,"R9969"
1,11.92,0.07,5,5,201106,201112,"R9970"
1,11.78,0.09,0,4,0,201202,"R9971"
1,11.78,0.09,0,3,0,201112,"R9972"
1,11.78,0.09,5,5,66,201202,"R9974"
1,11.78,0.09,5,5,66,201112,"R9975"
1,11.78,0.09,4,2,201107,201202,"R9976"
1,11.96,0.09,0,5,0,201202,"R9977"
1,11.96,0.09,4,5,201106,201202,"R9979"
1,11.96,0.09,5,5,201106,201201,"R9980"
1,11.96,0.09,0,4,0,201202,"R9981"
1,11.96,0.09,0,4,0,201202,"R9982"
1,11.96,0.09,5,5,201106,201202,"R9983"
1,11.96,0.09,0,5,0,201203,"R9984"
1,12.5,0.12,5,5,201106,201203,"R9985"
1,12.5,0.12,5,5,201107,201203,"R9986"
1,12.5,0.12,5,4,201107,201112,"R9987"
1,12.5,0.12,5,2,201107,201203,"R9989"
1,12.75,0.09,0,1,0,201111,"R9992"
1,12.75,0.09,5,5,66,201203,"R9994"
1,12.75,0.09,0,5,0,201203,"R9995"
1,12.75,0.09,4,5,201106,201203,"R9997"
1,12.75,0.09,5,3,201106,201202,"R9998"
